path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"India","Amrut Fusion","Single Malt","Amrut","Distillery Bottling","","","","50.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/4/1238/432384-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut Peated Indian","Single Malt","Amrut","Distillery Bottling","Cask Strength","","Oak Barrels","62.8 % Vol.","700 ml 700 ml","","https://static.whiskybase.com/storage/whiskies/1/4/5272/271693-big.jpg","Green-House/ Cooked Fruit/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Hay-like/ Honey/ Leathery/ New Wood/ Smokey/ Tobacco/ Chocolate/ Citric/ Coal-gas/ Dried Fruit/ Kippery/ Medicinal/ Mossy/ Nutty/ Oily/ Old Wood/ Plastic/ Solvent/ Sweaty/ Vanilla/ Yeasty/ Malt Extract/ Cooked Mash/ Husky/ Leafy/ Rubbery/ Sandy/ Sherried/ Toasted/ Vegetative"
"India","Amrut Cask Strength","Single Malt","Amrut","Distillery Bottling","","","Barrel","61.8 % Vol.","700 ml 700 ml","","https://static.whiskybase.com/storage/whiskies/1/4/5274/258772-big.jpg","Citric/ Fresh Fruit/ Malt Extract/ New Wood/ Toasted/ Vanilla/ Coal-gas/ Cooked Fruit/ Hay-like/ Kippery/ Medicinal/ Mossy/ Oily/ Old Wood/ Rubbery/ Sherried/ Smokey/ Sweaty/ Tobacco/ Chocolate/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Green-House/ Honey/ Husky/ Leafy/ Leathery/ Nutty/ Plastic/ Sandy/ Solvent/ Vegetative/ Yeasty"
"India","Amrut Peated Indian","Single Malt","Amrut","Distillery Bottling","","","Oak Barrels","46.0 % Vol.","700 ml","New label (2019)","https://static.whiskybase.com/storage/whiskies/1/5/0534/254736-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut Indian Single Malt Whisky","Single Malt","Amrut","Distillery Bottling","","","Oak Barrels","46.0 % Vol.","700 ml 700 ml 700 ml","New Label 2018","https://static.whiskybase.com/storage/whiskies/1/3/8244/233284-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut 10-year-old","Single Malt","Amrut","Distillery Bottling","Greedy Angels","10 years old","Peated Sherry Finish","60.0 % Vol.","750 ml","","https://static.whiskybase.com/storage/whiskies/1/4/3664/241282-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut 05-year-old","Single Malt","Amrut","Distillery Bottling","Single Cask","05 years old","Bourbon Cask","60.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut 08-year-old","Single Malt","Amrut","Distillery Bottling","Little Greedy Angels","08 years old","","50.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/2/9121/415279-big.jpg","Chocolate/ Cooked Fruit/ Dried Fruit/ Honey/ Leathery/ Oily/ Citric/ Coal-gas/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut 10-year-old","Single Malt","Amrut","Distillery Bottling","Greedy Angels - Chairman's Reserve","10 years old","Ex-Bourbon Barrels","55.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/3/7061/252477-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"India","Amrut 08-year-old","Single Malt","Amrut","Distillery Bottling","Greedy Angels - Chairman's Reserve","08 years old","","50.0 % Vol.","700 ml 750 ml","","https://static.whiskybase.com/storage/whiskies/1/0/0523/160961-big.jpg","Coal-gas/ Chocolate/ Citric/ Cooked Fruit/ Cooked Mash/ Fresh Fruit/ Honey/ Husky/ New Wood/ Smokey/ Vanilla/ Fragant/ Cooked Vegetable/ Dried Fruit/ Green-House/ Hay-like/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vegetative/ Yeasty"
