path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","Limited Rare Bottling","","Oloroso butt & refill butt","62.6 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/7/2/116/113685-big.jpg","Cooked Vegetable/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks","","Refill Sherry Hogshead","61.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/4/1206/249338-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","Special Release","","1st Fill Sherry Cask","53.5 % Vol.","700 ml","Potstill Edition","https://static.whiskybase.com/storage/whiskies/5/8/147/92576-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","Single Cask","","Sherry","60.7 % Vol.","700 ml 700 ml","","https://static.whiskybase.com/storage/whiskies/1/1/0070/209763-big.jpg","Coal-gas/ Chocolate/ Citric/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks (Release W22)","","Refill Sherry Hogshead","59.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/4/2500/435823-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","The Family Reserve III","","Sherry Butt","58.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/6942/413438-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","WhiskyTaste","","1st Fill Sherry Butt","60.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005 - Ferd in the Spey","Single Malt","Glenfarclas","Distillery Bottling","Special Release","10 years old","","46.0 % Vol.","750 ml","","https://static.whiskybase.com/storage/whiskies/7/6/928/128234-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","","","Sherry casks","55.2 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/8/3686/318372-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2005","Single Malt","Glenfarclas","Distillery Bottling","Limited Edition Bottling","09 years old","","60.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/7/0/483/109645-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","","","1st Fill Oloroso Casks","61.4 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/7/3/548/114890-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","The Family Reserve IV","","Sherry Butt","58.8 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/6943/401259-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks","","Refill Sherry Butt","62.4 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/2/6468/406933-big.jpg","Citric/ Dried Fruit/ Honey/ Vanilla/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","Warehouse Select - Edition #003","","","55.2 % Vol.","700 ml","Warehouse N° 21","https://static.whiskybase.com/storage/whiskies/1/8/3283/325120-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","","","first-fill oloroso sherry cask","61.3 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/8/5519/323052-big.jpg","Plastic/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","Premium Edition","","Sherry Casks","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/0/7406/177921-big.jpg","Toasted/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","Single Cask Strength","","Sherry Butt","60.4 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/1/2517/337682-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","Highland Single Malt Scotch Whisky","","","63.9 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/2/0830/201421-big.jpg","Cooked Mash/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks (Release S22)","","Sherry Butt","58.9 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/2/2573/398659-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks (Release S23)","","Sherry Butt","58.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/3/9258/430810-big.jpg","Chocolate/ Dried Fruit/ Leathery/ Oily/ Sherried/ Tobacco/ Old Wood/ Yeasty/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Plastic/ Rubbery/ Sandy/ Smokey/ Solvent/ Sweaty/ Toasted/ Vanilla/ Vegetative"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","","","","49.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/6/1/676/151645-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2007","Single Malt","Glenfarclas","Distillery Bottling","Visitor Centre Exclusive","","","58.8 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/2/0280/391173-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2007","Single Malt","Glenfarclas","Distillery Bottling","Duty Paid Sample","","First fill sherry butt","58.0 % Vol.","500 ml","","https://static.whiskybase.com/storage/whiskies/2/4/0318/436287-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2006","Single Malt","Glenfarclas","Distillery Bottling","Single Cask Strength","","Sherry","60.3 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/8/6/475/192359-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glenfarclas 2007","Single Malt","Glenfarclas","Distillery Bottling","The Family Casks (Release S23)","","Refill Sherry Butt","60.1 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/4/4715/445007-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
