path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Speyside","Inchgower 2010 SMWS 18.41","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","The sweet side of salty","11 years old","Bourbon hogshead/Oloroso hogshead finish","59.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/5748/396129-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.35","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","温泉あがりにみつ豆を食べて深海で遊ぶ","10 years old","1st Fill Ex-PX Hogshead Finish","58.1 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.40","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Sherry slushie","11 years old","1st Fill Ex-Oloroso Sherry Hogshead Finish","56.2 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/9/5005/355489-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2009 SMWS 18.46","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Bandyportfölj","13 years old","1st Fill Ex-Oloroso Sherry Hogshead Finish","58.6 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/1/7388/385817-big.jpg","Sherried/ Chocolate/ Dried Fruit/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.34","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Give us an inch!","10 years old","2nd Fill HTMC Hogshead Finish","58.1 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/8/2925/318717-big.jpg","Citric/ Mossy/ Vegetative/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.45","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Hola oloroso!","11 years old","1st Fill Ex-Oloroso Sherry Hogshead Finish","57.3 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/8055/399017-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2001 TSFSMC","Single Malt","Inchgower","The Scott Fife Sutherland Malt Company (TSFSMC)","","17 years old","","45.2 % Vol.","750 ml","","https://static.whiskybase.com/storage/whiskies/2/0/1351/425529-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.53","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Subtle nut brittle in  a bottle","12 years old","1st Fill Ex-Oloroso Sherry Hogshead Finish","56.2 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/2/7430/422553-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.42","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","A feeling of comfort","11 years old","1st Fill Ex-Oloroso Sherry Hogshead Finish","56.9 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/9/7892/349368-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Inchgower 2010 SMWS 18.44","Single Malt","Inchgower","The Scotch Malt Whisky Society (SMWS)","Creamy coffee fudge","11 years old","First Fill Oloroso Hogshead Finish","57.1 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
