path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Islands","Ledaig 2004 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Connoisseurs Choice","17 years old","Refill Bourbon Barrel","54.6 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/1/9213/388973-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2004 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Cask Strength","","1st Fill Sherry Hogsheads","56.6 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/0/4619/168861-big.jpg","Leathery/ Nutty/ Toasted/ Hay-like/ Smokey/ Vanilla/ Yeasty/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Honey/ Husky/ Kippery/ Leafy/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Tobacco/ Vegetative"
"Scotland/Islands","Ledaig 2004 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Cask Strength","","1st Fill & Refill Sherry Hogsheads","55.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/0/2524/231583-big.jpg","Dried Fruit/ Sherried/ Citric/ Smokey/ Tobacco/ Chocolate/ Malt Extract/ Nutty/ Fresh Fruit/ Hay-like/ Honey/ Toasted/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Green-House/ Husky/ Kippery/ Leafy/ Leathery/ Medicinal/ Mossy/ New Wood/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Solvent/ Sweaty/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2001 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Connoisseurs Choice - Cask Strength Collection","19 years old","Refill Sherry Butt","56.8 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/8/3240/317635-big.jpg","Chocolate/ Dried Fruit/ Fresh Fruit/ Hay-like/ Sherried/ Smokey/ Tobacco/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Green-House/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Solvent/ Sweaty/ Toasted/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2004 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Cask Strength","","Refill Sherry Hogshead","57.8 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/8/7/607/138367-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2005 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Exclusive","","Refill American Hogshead","43.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2005 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Private Collection","","26 months Hermitage Wood Finish","45.0 % Vol.","700 ml 750 ml","","https://static.whiskybase.com/storage/whiskies/1/0/2135/166301-big.jpg","Smokey/ Citric/ Dried Fruit/ Nutty/ Old Wood/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Oily/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2006 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Connoisseurs Choice - Cask Strength","12 years old","1st Fill Sherry Hogshead","58.2 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/2/8863/217596-big.jpg","Chocolate/ Coal-gas/ Smokey/ Citric/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2005 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Connoisseur's Choice","17 years old","2nd Fill Sherry Hogshead","54.3 % Vol.","750 ml","Batch 23/146","https://static.whiskybase.com/storage/whiskies/2/4/5653/442200-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Islands","Ledaig 2004 GM","Single Malt","Tobermory","Gordon & MacPhail (GM)","Connoisseurs Choice","","Refill Bourbon Barrels","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/9/9/247/158869-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
