path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Speyside","Glen Elgin 2008 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection","","2nd Fill Virgin Oak Hogshead Finish","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/0/7225/379072-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 2008 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection - Cask Strength","15 years old","First Fill Oloroso Sherry Butt Finish","54.2 % Vol.","700 ml","Sherry Finish Oloroso","https://static.whiskybase.com/storage/whiskies/default/big.png?v4","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 2008 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection","","Virgin Oak Casks","46.0 % Vol.","700 ml","Virgin Oak","https://static.whiskybase.com/storage/whiskies/1/9/3141/341111-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 1991 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection - Extra Strength","23 years old","Marsala Cask Finish","50.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/5/9/033/92429-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 1991 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection - Extra Strength","20 years old","Marsala Cask Finish","50.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/8/233/72357-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 1975 WMS","Single Malt","Glen Elgin","WM Spirits (WMS)","The Admiral's Cask","","Bourbon Cask","42.4 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/4/5/293/79905-big.jpg","Citric/ Rubbery/ Chocolate/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 2008 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection - Cask Strength","15 years old","First Fill Oloroso Sherry Butt Finish","55.4 % Vol.","700 ml","Sherry Finish Oloroso","https://static.whiskybase.com/storage/whiskies/2/3/8432/428080-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Speyside","Glen Elgin 2008 WM","Single Malt","Glen Elgin","Wilson & Morgan (WM)","Barrel Selection - Cask Strength","14 years old","2 Years 1st Fill Oloroso Sherry Butt Finish","57.3 % Vol.","700 ml","Sherry Finish Oloroso","https://static.whiskybase.com/storage/whiskies/2/2/9773/418007-big.jpg","Husky/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Glen Garioch 12-year-old","Single Malt","Glen Garioch","Distillery Bottling","","12 years old","Bourbon & Sherry","48.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/8/385/201804-big.jpg","Vanilla/ Dried Fruit/ Honey/ Fresh Fruit/ Toasted/ New Wood/ Old Wood/ Malt Extract/ Medicinal/ Sherried/ Tobacco/ Chocolate/ Citric/ Cooked Fruit/ Fragant/ Nutty/ Hay-like/ Leathery/ Mossy/ Plastic/ Smokey/ Yeasty/ Coal-gas/ Cooked Mash/ Cooked Vegetable/ Green-House/ Husky/ Kippery/ Leafy/ Oily/ Rubbery/ Sandy/ Solvent/ Sweaty/ Vegetative"
"Scotland/Highlands","Glen Garioch 15-year-old","Single Malt","Glen Garioch","Distillery Bottling","Sherry Cask Matured","15 years old","Oloroso Sherry Casks","53.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/7/2/508/171716-big.jpg","Dried Fruit/ Sherried/ Old Wood/ Leathery/ Oily/ Tobacco/ Chocolate/ Coal-gas/ Citric/ Nutty/ Honey/ Toasted/ Malt Extract/ Yeasty/ New Wood/ Fragant/ Leafy/ Mossy/ Rubbery/ Smokey/ Vanilla/ Vegetative/ Medicinal/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fresh Fruit/ Green-House/ Hay-like/ Husky/ Kippery/ Plastic/ Sandy/ Solvent/ Sweaty"
"Scotland/Highlands","Glen Garioch 08-year-old","Single Malt","Glen Garioch","Distillery Bottling","Highland Single Malt Scotch Whisky","08 years old","","43.0 % Vol.","700 ml 750 ml","","https://static.whiskybase.com/storage/whiskies/2/0/8598/367107-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
