path,titleText,Category,Distillery,Bottler,Bottling serie,Stated Age,Cask Type,Strength,Size,Label,Image URL,TASTINGTAGS
"Scotland/Highlands","Blair Athol 2000 BYOB","Single Malt","Blair Athol","BYOB-C (BYOB)","Mobsters on Mopeds","18 years old","","58.4 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/1/2/1098/202044-big.jpg","Dried Fruit/ Chocolate/ Citric/ Fresh Fruit/ Hay-like/ Nutty/ Toasted/ Yeasty/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Green-House/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Tobacco/ Vanilla/ Vegetative"
"Scotland/Highlands","Blair Athol 2009 BiM","Single Malt","Blair Athol","Brothers in Malt (BiM)","Allt Dour I","13 years old","Hogshead","58.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/1/3250/375913-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 14-year-old BW","Single Malt","Blair Athol","Brühler Whiskyhaus (BW)","A Dream of Scotland - The Tasteful 8","14 years old","2nd Fill Cream Sherry Hogshead","53.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/2/1/9046/392229-big.jpg","Chocolate/ Citric/ Dried Fruit/ Oily/ Sherried/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Old Wood/ Plastic/ Rubbery/ Sandy/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 1976 C&S","Single Malt","Blair Athol","C&S Dram Collection (C&S)","Dram Collection","30 years old","Hogshead","54.9 % Vol.","700 ml","misprint : Atholl","https://static.whiskybase.com/storage/whiskies/4/4/45/58855-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 1998 C&S","Single Malt","Blair Athol","C&S Dram Collection (C&S)","Dram Collection","14 years old","Hogshead","59.7 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/3/7/311/76214-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 2010 C&S","Single Malt","Blair Athol","C&S Dram Collection (C&S)","Dram Collection","05 years old","Sherry Butt","58.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/8/2/682/129639-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 2010 C&S","Single Malt","Blair Athol","C&S Dram Collection (C&S)","Dram Collection","06 years old","Sherry Puncheon","48.5 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/9/2/272/155432-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 13-year-old CA","Single Malt","Blair Athol","Cadenhead's (CA)","Duthies","13 years old","Oak Cask","46.0 % Vol.","700 ml","","https://static.whiskybase.com/storage/whiskies/3/5/718/75460-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 1965 CA","Single Malt","Blair Athol","Cadenhead's (CA)","Dumpy Bottle","12 years old","","45.7 % Vol.","750 ml","","https://static.whiskybase.com/storage/whiskies/3/2/258/73943-big.jpg","Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Malt Extract/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
"Scotland/Highlands","Blair Athol 1966 CA","Single Malt","Blair Athol","Cadenhead's (CA)","Dumpy Bottle","23 years old","","58.4 % Vol.","750 ml","","https://static.whiskybase.com/storage/whiskies/7/1/97/60934-big.jpg","Malt Extract/ Chocolate/ Citric/ Coal-gas/ Cooked Fruit/ Cooked Mash/ Cooked Vegetable/ Dried Fruit/ Fragant/ Fresh Fruit/ Green-House/ Hay-like/ Honey/ Husky/ Kippery/ Leafy/ Leathery/ Medicinal/ Mossy/ New Wood/ Nutty/ Oily/ Old Wood/ Plastic/ Rubbery/ Sandy/ Sherried/ Smokey/ Solvent/ Sweaty/ Toasted/ Tobacco/ Vanilla/ Vegetative/ Yeasty"
